,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
12,1958,TRON,TRX,tron,616,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'bnb-chain']",,92796401566.06999,92796401566.06999,,13,71659659264.0,5918314826.919683,2022-06-07T20:59:00.000Z,0.08258921250401333,867370669.6405374,11.6135,0.26832895,1.45645563,0.64669015,-6.00299539,30.53695258,36.54812051,7663981728.54791,0.6018,7663981728.55,2022-06-07T20:59:00.000Z,,,,,,2022-06-07 22:00:39.438506
13,5805,Avalanche,AVAX,avalanche,265,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain']",720000000.0,280921663.0371251,404229626.49901325,,14,,,2022-06-07T20:59:00.000Z,25.472084952448625,871030981.2149714,6.926,1.52221524,-0.21996157,-3.52052672,-51.36533417,-70.51468761,-66.79938705,7155660465.864798,0.5619,18339901165.76,2022-06-07T20:59:00.000Z,1839.0,BNB,BNB,bnb,0x1ce0c2827e2ef14d5c4f29a091d735a204794041,2022-06-07 22:00:39.438506
14,4943,Dai,DAI,multi-collateral-dai,990,2019-11-22T00:00:00.000Z,"['defi', 'stablecoin', 'ethereum-ecosystem', 'avalanche-ecosystem', 'polygon-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'harmony-ecosystem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",,6889106279.296763,6889106279.296763,,15,,,2022-06-07T20:59:00.000Z,1.0002547877768568,345183473.1241804,61.4682,0.02322112,0.0224104,-0.00715393,0.06799547,0.03066909,0.11002146,6890861539.370196,0.5409,6890861539.37,2022-06-07T20:59:00.000Z,1027.0,Ethereum,ETH,ethereum,0x6b175474e89094c44da98b954eedeac495271d0f,2022-06-07 22:00:39.438506
0,1,Bitcoin,BTC,bitcoin,9524,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio']",21000000.0,19061050.0,19061050.0,,1,,,2022-06-07T21:02:00.000Z,31351.63744503531,35781073383.54264,11.9057,0.88193309,-0.25205708,-1.3216656,-8.58118188,-26.80107978,-25.05109539,597595128921.6903,46.9115,658384386345.74,2022-06-07T21:02:00.000Z,,,,,,2022-06-07 22:02:39.661215
1,1027,Ethereum,ETH,ethereum,5742,2015-08-07T00:00:00.000Z,"['mineable', 'pow', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'bnb-chain']",,121086977.499,121086977.499,,2,,,2022-06-07T21:02:00.000Z,1845.3751483127885,21530490623.434326,29.0795,-0.11063256,-0.82998572,-5.31963637,-27.45976027,-43.20909163,-31.37415541,223450899060.96442,17.541,223450899060.96,2022-06-07T21:02:00.000Z,,,,,,2022-06-07 22:02:39.661215
2,825,Tether,USDT,tether,34406,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin']",,72420549552.79755,79713622660.21223,,3,,,2022-06-07T21:02:00.000Z,0.9993706155022813,58782100572.76003,14.0015,0.00141549,-0.00089809,-0.00189922,-0.0456758,-0.10156356,-0.09040862,72374969181.59274,5.6824,79663452141.85,2022-06-07T21:02:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2022-06-07 22:02:39.661215
3,3408,USD Coin,USDC,usd-coin,4309,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",,53791817667.67182,53791817667.67182,,4,,,2022-06-07T21:01:00.000Z,1.0005042214104238,5352405392.168139,14.9782,0.01997011,0.0348576,0.00261054,0.03188384,0.05402878,0.02468798,53818940653.845474,4.2261,53818940653.85,2022-06-07T21:01:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2022-06-07 22:02:39.661215
4,1839,BNB,BNB,bnb,942,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'moonriver-ecosystem', 'bnb-chain']",165116760.0,163276974.63,163276974.63,,5,,,2022-06-07T21:01:00.000Z,292.17771985811885,1676545744.4145706,19.6423,-0.21577432,-0.80560222,-8.73624485,-18.2512155,-31.77612762,-25.38087262,47705894152.72532,3.745,48243438447.16,2022-06-07T21:01:00.000Z,,,,,,2022-06-07 22:02:39.661215
5,2010,Cardano,ADA,cardano,454,2017-10-01T00:00:00.000Z,"['mineable', 'dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'bnb-chain']",45000000000.0,33739028515.755,34277702081.605,,6,,,2022-06-07T21:01:00.000Z,0.6328923236011689,1403051601.36789,3.0022,0.36007071,5.17837659,4.92881507,-15.88931235,-39.76582119,-24.70371801,21353172153.38228,1.6767,28480154562.05,2022-06-07T21:01:00.000Z,1839.0,BNB,BNB,bnb,0x3ee2200efb3400fabb9aacf31297cbdd1d435d47,2022-06-07 22:02:39.661215
6,52,XRP,XRP,xrp,735,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'binance-chain', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio']",100000000000.0,48343101197.0,99989535142.0,,7,,,2022-06-07T21:02:00.000Z,0.41369989848204236,1496060500.116607,24.099,-0.0808188,3.05267698,-1.2676276,-27.63729233,-45.75735191,-45.61200835,19999536057.506,1.5702,41369989848.2,2022-06-07T21:02:00.000Z,1839.0,BNB,BNB,bnb,0x1d2f0da169ceb9fc7b3144628db156f3f6c60dbe,2022-06-07 22:02:39.661215
